name,location,phone,costForTwo
Jalsa,Banashankari,+91 8042297555,800
Spice Elephant,Banashankari,+91 8041714161,800
San Churro Cafe,Banashankari,+91 9663487993,800
Addhuri Udupi Bhojana,Banashankari,+91 9620009302,300
Grand Village,Basavanagudi,+91 8026612447,600
Rosewood International Hotel - Bar & Restaurant,Mysore Road,+91 9731716688,800
Onesta,Banashankari,+91 8048653961,600
Penthouse Cafe,Banashankari,+91 8884135549,700
Smacznego,Banashankari,+91 9945230807,550
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,+91 8026724489,500
Cafe Shuffle,Banashankari,+91 9742166777,600
The Coffee Shack,Banashankari,+91 9731644212,500
Caf-Eleven,Banashankari,+91 8049577715,450
Cafe Vivacity,Banashankari,+91 8026768182,650
T3H Cafe,Banashankari,+91 8884726600,300
360 Atoms Restaurant And Cafe,Banashankari,+91 9880594520,400
Cafe Coffee Day,Banashankari,+91 8032486296,900
My Tea House,Banashankari,+91 8065975430,600
Hide Out Cafe,Banashankari,+91 9901481185,300
CAFE NOVA,Banashankari,+91 8971090261,600
Coffee Tindi,Banashankari,+91 9945758046,200
Sea Green Cafe,Banashankari,+91 9008628448,500
Cuppa,Banashankari,+91 9591111123,550
Srinathji's Cafe,Basavanagudi,+91 8026600704,550
Redberrys,Basavanagudi,+91 9148421256,600
Foodiction,Banashankari,+91 9916107070,500
Sweet Truth,Banashankari,+91 7710055553,500
Ovenstory Pizza,Banashankari,+91 7738383000,750
Faasos,Banashankari,+91 7700020020,500
Behrouz Biryani,Banashankari,+91 7022260661,650
Fast And Fresh,Banashankari,+91 9742974232,400
Szechuan Dragon,Banashankari,+91 919663567,600
Empire Restaurant,Jayanagar,+91 8049653266,750
Maruthi Davangere Benne Dosa,Banashankari,+91 9019563485,150
Chaatimes,Basavanagudi,+91 8884232233,200
Havyaka Mess,Banashankari,+91 9243195843,300
McDonald's,Banashankari,+91 8066000666,500
Domino's Pizza,Banashankari,+91 8026710070,800
Hotboxit,Banashankari,+91 7026677677,400
Beijing Bites,Rajarajeshwari Nagar,+91 8028606888,850
Shree Cool Point,Vijay Nagar,+91 9900617124,150
Corner House Ice Cream,Banashankari,+91 8026713965,400
Biryanis And More,Jayanagar,+91 8048542442,750
Roving Feast,Banashankari,+91 8042024092,450
FreshMenu,Banashankari,+91 8040424242,450
Wamama,Banashankari,+91 8042111599,800
Five Star Chicken,Banashankari,+91 8041716035,200
XO Belgian Waffle,Banashankari,+91 9920950331,400
Peppy Peppers,Banashankari,+91 8042297555,800
Goa 0 Km,Kumaraswamy Layout,+91 8049653548,800
Chinese Kitchen,Basavanagudi,+91 9845914270,150
1947,Banashankari,+91 8026791213,850
Cake of the Day,Banashankari,+91 8022977725,150
Kabab Magic,Basavanagudi,+91 8026570381,400
Namma Brahmin's Idli,Jayanagar,+91 8310555879,100
Gustoes Beer House,Banashankari,+91 8049653521,"1,200"
Sugar Rush,Banashankari,+91 9916366551,300
The Good Bowl,Banashankari,+91 8042172269,500
The Biryani Cafe,Banashankari,+91 7010846043,300
Spicy Tandoor,Banashankari,+91 8050884222,150
LSD Cafe,Banashankari,+91 8065600000,700
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,+91 9448305384,150
Devanna Dum Biriyani Centre,Banashankari,+91 9980204944,300
Kolbeh,Banashankari,+91 8050701820,500
Upahar Sagar,Banashankari,+91 9164571705,350
Kadalu Sea Food Restaurant,Vijay Nagar,+91 7337681786,500
Frozen Bottle,Banashankari,+91 8048664811,400
Parimala Sweets,Banashankari,+91 9738013203,200
Vaishali Deluxe,Banashankari,+91 9886092321,700
Chill Out,Banashankari,+91 9341215167,100
The Big O Bakes,Banashankari,+91 9845216137,300
Meghana Foods,Jayanagar,+91 8049653564,600
Krishna Sagar,Banashankari,+91 8892752997,200
Dessert Rose,Banashankari,+91 7829604777,500
Chickpet Donne Biryani House,Banashankari,+91 9482020323,250
Thanco's Natural Ice Creams,Banashankari,+91 8041477334,300
Kaggis,Banashankari,+91 9900191258,250
Ayda Persian Kitchen,Banashankari,+91 8042124293,950
Chatar Patar,Banashankari,+91 7619353103,300
Polar Bear,Basavanagudi,+91 8049652725,400
Kidambi's Kitchen,Banashankari,+91 8042112211,300
Mane Thindi,Banashankari,+91 9964410276,200
Kotian Karavali Restaurant,Banashankari,+91 7829336984,300
Floured-Baked With Love,Banashankari,+91 9845552266,400
Cakes & Slices,Banashankari,+91 9845174427,300
Spice 9,Banashankari,+91 8298113218,300
Wood Stove,Banashankari,+91 9845810938,150
K27 - The Pub,Banashankari,+91 9980097472,"1,000"
Bengaluru Coffee House,Banashankari,+91 9740180090,300
Parjanya Chat Zone,Banashankari,+91 9513333364,200
Ruchi Maayaka,Banashankari,+91 9206517566,100
Kaumudis Juoice,Banashankari,+91 7829662162,150
Sri Murari Family Restaurant,Banashankari,+91 9886670026,250
Darbar,Banashankari,+91 8861271465,800
Vijayalakshmi,Basavanagudi,+91 8049653547,200
Sri Udupi Food Hub,Jayanagar,+91 9916866033,500
Udupi Upahar,Banashankari,+91 8045128750,300
Roll N Rock,Kumaraswamy Layout,+91 9590941992,400
BOX8- Desi Meals,Banashankari,+91 2233552698,500
KFC,Banashankari,+91 8033994444,450
Roll Over,Jayanagar,+91 8884942976,500
Imperial Restaurant,Mysore Road,+91 7338431313,750
Wahab,Jayanagar,+91 9845088001,350
Al Diwan Biryanis And More,Basavanagudi,+91 8045128807,300
Canton,Jayanagar,+91 8041410069,800
Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi,+91 9035515333,300
The Blue Wagon - Kitchen,Jayanagar,+91 8105485007,400
HOT COFFEE,Basavanagudi,+91 9972187023,150
Patio 805,Jayanagar,+91 8884999805,"1,200"
Lassi Corner,Basavanagudi,+91 9972348689,150
Kanti Sweets,Banashankari,+91 8022960617,400
Vegetalia,Banashankari,+91 9972720474,400
Aramane Donne Biryani,Banashankari,+91 6360738836,200
Cake Ghar,Basavanagudi,+91 9902773562,400
Energy Addaa,Basavanagudi,+91 8049652857,500
Dev Sagar - Food Street,Basavanagudi,+91 9886204745,200
Mitraa Da Pizza,Kumaraswamy Layout,+91 7977809237,250
Grazers,Jayanagar,+91 8026650668,650
Shakes Theory,Jayanagar,+91 9886936896,300
@Italy,Kumaraswamy Layout,+91 7760579999,700
Calcutta Cafe,Kumaraswamy Layout,+91 7207304915,350
Old Mumbai Ice Cream,Banashankari,+91 8049652445,150
Donne Biriyani House,Banashankari,+91 8197743537,400
By 2 Coffee,Basavanagudi,+91 7026398124,100
Kedia's Fun Food,Jayanagar,+91 8867769557,200
Davangere Butter Dosa Hotel,Kumaraswamy Layout,+91 9845597399,150
Just Shawarma,Kumaraswamy Layout,+91 7676764422,300
Mini Punjabi Dhaba,Banashankari,+91 9845044074,350
Mulabagilu Dosa,Basavanagudi,+91 9945200103,100
Gokul Veg,Basavanagudi,+91 9980978388,750
Madhappa Hindu Military Hotel,Banashankari,+91 9900487676,300
Gama Gama,Banashankari,+91 9739946098,200
Pizza Hut,Banashankari,+91 8039883988,750
Mangalore Pearl,Jayanagar,+91 8880888315,650
Asha Sweets Centre,Basavanagudi,+91 9448616782,250
Twiststick House,Basavanagudi,+91 9916538249,500
Cool Corner,Basavanagudi,+91 8026916505,250
Pizza Mane,Banashankari,+91 9886212159,150
Dal Tadkaa,Banashankari,+91 8026691763,500
Chutney Chang,Jayanagar,+91 8022443007,"1,500"
Mystique Palate,Jayanagar,+91 9663313544,300
Thamboola,Banashankari,+91 8026711258,800
Castle Rock,Uttarahalli,+91 8042014000,700
Vietnamese Kitchen,Banashankari,+91 8026697884,700
C Corner,Kumaraswamy Layout,+91 7760185353,200
Paratha Merchant,Kumaraswamy Layout,+91 9845089103,300
Inchara Restaurant,Basavanagudi,+91 9916045817,300
Toscano,Jayanagar,+91 8041558423,"1,300"
Lord Of The Kitchen,Kumaraswamy Layout,+91 9682222100,350
Stoned Monkey,Banashankari,+91 9972710694,500
Central Jail Restaurant,Jayanagar,+91 7337886666,700
Bella,Jayanagar,+91 8971285555,"1,000"
Vennela Andhra Meals,Jayanagar,+91 9880046999,400
New Prashanth Hotel,Jayanagar,+91 8026530150,750
The Grillo,Jayanagar,+91 8043940555,500
Re Malnad Nati Style Hotel,JP Nagar,+91 8123481003,400
Karma Kaapi,Jayanagar,+91 9380908955,250
Tiwari's,Jayanagar,+91 9844733389,200
Pizza Stop,Basavanagudi,+91 8046640404,600
Biggies Burger 'n' More,Kumaraswamy Layout,+91 9972972950,650
Kollapuri's,Basavanagudi,+91 8041205839,450
Sugar Stars Co,Basavanagudi,+91 8007845315,300
RS Shiv Sagar,Basavanagudi,+91 8026604686,450
Kholi Mane,Basavanagudi,+91 8026765670,450
Harshi Super Sandwich,Basavanagudi,+91 9900924729,150
Cake Yard,Basavanagudi,+91 7019271830,250
Cake Art,Basavanagudi,+91 7676002255,400
Potato House,Uttarahalli,+91 7829800010,200
Matru Sagar,Mysore Road,+91 9342250609,300
Ugadi,Jayanagar,+91 9742231320,700
Sri Krishna Sweets,Basavanagudi,+91 8026603727,250
In Time Cane Juice,Kumaraswamy Layout,+91 8867636488,100
Subway,Banashankari,+91 8042136088,600
Daal Roti,Kumaraswamy Layout,+91 9845696838,250
The Lassi Park,Jayanagar,+91 8095957665,200
A2B - Adyar Ananda Bhavan,Mysore Road,+91 8026746999,400
Srikrishna Bhavan,Banashankari,+91 9590895055,300
Green Gardenia,Banashankari,+91 8026698822,700
J Spice,Banashankari,+91 8026739252,750
Karavali Family Restaurant,Jayanagar,+91 7019082164,500
Karavali Lunch Home,Kumaraswamy Layout,+91 9900690959,350
Hatti Kaapi,Jayanagar,+91 8040942666,200
Kolkata Kathi Roll's,Banashankari,+91 9036585008,250
Upahara Darshini,Basavanagudi,+91 8022454581,600
Anda Ka Funda,Jayanagar,+91 7022727051,250
Shri Vinayaka Ice N Juice,Basavanagudi,+91 9448090792,150
Ibaco,Jayanagar,+91 9731482129,300
Jalaram Sweets,Jayanagar,+91 8022447956,250
Samskruti - Sanman Gardenia,Jayanagar,+91 8026570711,550
Bendakaluru Bytes,Vijay Nagar,+91 9972777362,300
Cocoa Bakes,Banashankari,+91 8026711320,350
Dwaraka Grand,Kumaraswamy Layout,+91 9448214873,500
Gufha - The President Hotel,Jayanagar,+91 8041808777,"1,200"
Tanna's Kitchen,Kumaraswamy Layout,+91 8904179298,250
Mojo Pizza - 2X Toppings,Banashankari,+91 2233252828,600
Iceberg Icecreams,Basavanagudi,+91 9035709035,250
South Kitchen,Basavanagudi,+91 9880980009,100
Chung Wah,Jayanagar,+91 9108945477,850
Millet Mama,Basavanagudi,+91 7411918648,200
Bangarpet Chat Express,Basavanagudi,+91 9880546954,100
Prems Graama Bhojanam,Jayanagar,+91 8026630542,400
Java City,Jayanagar,+91 8041654693,450
Kamat Bugle Rock,Basavanagudi,+91 8026605734,300
Puliyogare Point,Basavanagudi,+91 9986953484,100
Bangalore Agarwal Bhavan,Jayanagar,+91 9880988500,400
Rustic Stove,Jayanagar,+91 8026547755,900
Udupi Ruchi Grand,Banashankari,+91 9980816347,200
Just Thindi,Basavanagudi,+91 nan,200
Vasanth Vihar - Since 1965,Banashankari,+91 9148340856,150
Sea Spice by 7 Star,Banashankari,+91 8049653393,"1,200"
Desi Dawat,Kumaraswamy Layout,+91 6363331588,400
Cafe Aira,Basavanagudi,+91 9980570955,500
Mast Punjabi,Kumaraswamy Layout,+91 7338562176,400
South Grand,Uttarahalli,+91 8026394647,400
Ruchis Point,Banashankari,+91 9901999970,200
Firangi Bake,Rajarajeshwari Nagar,+91 7710090007,600
The Royal Corner - Pai Viceroy,Jayanagar,+91 9980909054,900
Hara Fine Dine,Banashankari,+91 8042112211,800
Sandwichwallas,Jayanagar,+91 9108076353,200
Chai Mane,Basavanagudi,+91 9606502508,150
Waffle-A-Go Go,Banashankari,+91 9900281611,400
Cross Road Cafe,Jayanagar,+91 8041247022,300
Anand Donne Biriyani,Jayanagar,+91 8892398288,200
Seven Star,Banashankari,+91 9035117805,250
Stop 'N' Joy,Banashankari,+91 9741932387,150
Sri Yaksha Shiv Sagar,Banashankari,+91 9731004414,600
Fudge,Basavanagudi,+91 8105952525,200
Just Bunny,Jayanagar,+91 9538040291,200
Bakers Town,Kumaraswamy Layout,+91 8884550298,650
Shree Mahalakshmi Sweets,Banashankari,+91 7899900144,100
Kaapi Kendra,Jayanagar,+91 8277264556,100
Ivy,Kumaraswamy Layout,+91 8042292888,600
The Airos,Jayanagar,+91 7026390001,650
Chai Kraft,Jayanagar,+91 9946666099,100
South Point Pub,Basavanagudi,+91 8026563642,800
The Trundle,Jayanagar,+91 9986520008,700
The Krishna Grand Xpress,Jayanagar,+91 9845108265,350
Shringar Sweets & Snacks,Basavanagudi,+91 9606504043,200
Udupi Grand,Basavanagudi,+91 9242115999,300
Ganesh Grand,Basavanagudi,+91 8026700948,300
Little Cafe,Basavanagudi,+91 9741248269,600
Mumbai Badam Milk & Lassi Center,Basavanagudi,+91 9739007875,100
Sri Krishna Sagar,Banashankari,+91 9035297404,400
Mylari Biryani Family Restaurant,Banashankari,+91 9945052728,400
1980s Games Cafe,Basavanagudi,+91 8041677077,400
